file_name,spec/string_extension_spec.rb,,5
file_name,tags,,4
file_name,lib/corneal/generators/app/app_generator.rb,,1
file_name,lib/corneal/generators/controller/controller_generator.rb,,3
file_name,lib/corneal/generators/model/model_generator.rb,,4
file_name,lib/extensions/string.rb,,3
file_name!,tags,,2
file_name!,lib/extensions/string.rb,,1
initialize_git_repo,tags,,2
initialize_git_repo,lib/corneal/generators/app/app_generator.rb,,1
install_dependencies,tags,,2
install_dependencies,lib/corneal/generators/app/app_generator.rb,,1
setup,tags,,6
setup,README.md,,1
setup,lib/corneal/generators/app/app_generator.rb,,1
setup,lib/corneal/generators/app/templates/config/environment.rb,,1
setup,lib/corneal/generators/controller/controller_generator.rb,,1
setup,lib/corneal/generators/model/model_generator.rb,,1
source_root,spec/corneal/cli_spec.rb,,2
source_root,tags,,6
source_root,lib/corneal/generators/app/app_generator.rb,,1
source_root,lib/corneal/generators/controller/controller_generator.rb,,1
source_root,lib/corneal/generators/model/model_generator.rb,,1
version,spec/corneal/version_spec.rb,,5
version,tags,,4
version,README.md,,1
version,corneal.gemspec,,2
version,lib/corneal/cli.rb,,4
version,lib/corneal/generators/app/app_generator.rb,,2
version,lib/corneal/generators/model/model_generator.rb,,2
version,lib/corneal.rb,,1
